latitude,City Name,City Number,Temperature,Humidity,Cloudiness,Wind Speed
-21.57,Cambuci,3467962,68.32,96,12,2.39
-0.74,Puerto Ayora,3652764,75.2,69,75,5.82
71.97,Saskylakh,2017155,22.6,89,68,3.29
37.14,Lagoa,2267254,69.8,94,40,6.93
-1.76,Ipixuna,3408424,78.8,83,20,10.29
2.43,Mersing,1732826,78.04,99,0,4.41
-21.57,Cambuci,3467962,68.32,96,12,2.39
-0.74,Puerto Ayora,3652764,75.2,69,75,5.82
71.97,Saskylakh,2017155,22.6,89,68,3.29
37.14,Lagoa,2267254,69.8,94,40,6.93
-1.76,Ipixuna,3408424,78.8,83,20,10.29
2.43,Mersing,1732826,78.04,99,0,4.41
59.36,Okhotsk,2122605,41.86,98,24,4.63
-34.48,Rocha,3440777,46.09,82,0,4.74
-33.21,Jamestown,2069194,59.5,78,76,9.66
-33.93,Cape Town,3369157,55.4,58,0,18.34
37.63,Cartagena,2520058,62.6,82,0,4.7
-30.97,Carnarvon,1014034,42.76,77,8,15.14
-22.97,Arraial do Cabo,3471451,75.2,83,0,6.93
38.18,Fortuna,2517679,62.6,77,0,3.36
-54.81,Ushuaia,3833367,33.8,86,75,9.17
6.8,Georgetown,3378644,78.8,88,0,4.7
62.45,Yellowknife,6185377,28.4,63,75,16.11
-23.12,Rikitea,4030556,68.5,100,100,19.51
-1.77,Oriximina,3393471,87.58,51,0,5.64
41.42,Saldanha,2737599,49.6,61,0,5.97
34.92,Lasa,146639,68.22,77,0,9.17
-46.43,Mar del Plata,3863379,50.5,45,92,16.04
-45.87,Comodoro Rivadavia,3860443,53.6,23,0,8.05
66.15,Pangnirtung,6096551,23.95,85,20,6.76
35.73,Hasaki,2112802,70.52,83,75,8.05
-33.59,Port Alfred,964432,60.67,99,36,21.74
-23.87,Inhambane,1045114,71.74,97,0,14.81
-2.02,Lorengau,2092164,84.79,97,8,5.41
45.6,Souillac,3026644,54.23,82,90,2.24
-27.15,Porto Belo,3452900,69.31,94,75,5.82
-20.63,Ponta do Sol,3453439,68.14,79,36,2.17
-8.93,Airai,1651810,74.71,66,0,2.28
70.03,Skjervoy,777682,39.61,100,88,11.68
71.98,Khatanga,2022572,29.71,96,88,5.64
60.79,Bethel,5880568,51.08,96,90,17.22
65.96,Urengoy,1488414,23.95,74,32,6.76
-46.19,Mataura,6201424,53.02,85,0,7.2
60.75,Haines Junction,5969025,45.55,32,0,2.62
36.49,Belen,321572,59.0,82,0,2.24
-53.16,Punta Arenas,3874787,39.2,86,75,20.8
-34.42,Hermanus,3366880,50.14,86,56,6.2
-33.64,Busselton,2075265,56.26,100,0,21.52
-9.8,Atuona,4020109,79.12,100,56,8.21
69.49,Talnakh,1490256,30.43,100,0,13.47
22.08,Kapaa,5848280,83.52,72,20,8.05
39.95,Kodiak,4407665,82.04,62,1,11.41
31.03,Zabol,1113217,71.6,24,0,13.87
-23.58,Bluff,2175403,73.54,48,0,9.22
-34.53,Bredasdorp,1015776,42.8,87,76,2.24
70.47,Clyde River,5924351,14.0,100,75,4.7
42.49,Karakol,1528121,29.35,91,0,1.72
-42.88,Hobart,2163355,55.4,71,75,18.34
-38.31,Barrow,3833859,53.65,39,32,13.24
73.51,Dikson,1507390,38.26,100,64,20.51
29.03,Jalu,86049,77.95,32,48,10.56
59.7,Nikolskoye,546105,42.8,87,75,2.24
66.42,Udachnyy,2014624,34.12,97,88,2.73
32.93,Uruzgan,1131462,32.23,86,0,2.39
19.71,Hilo,5855927,78.8,59,20,13.87
-3.66,Namatanai,2090021,84.79,95,20,4.18
-42.78,New Norfolk,2155415,55.4,71,75,18.34
63.87,Straumen,3135728,35.6,93,40,13.87
38.3,Penarroya-Pueblonuevo,2512730,60.8,41,0,3.36
7.24,Paoua,2383523,67.42,98,64,4.07
-10.26,Jaguarari,3460225,77.59,56,0,11.79
33.93,Katsuura,1865309,66.2,82,40,3.36
17.01,Salalah,286621,73.4,53,0,2.24
-10.46,Kirakira,2178753,81.64,100,48,13.02
41.28,Poum,787487,49.51,82,64,1.95
38.73,Praia da Vitoria,3372760,69.8,83,40,17.72
30.99,Yeroham,293203,66.7,96,0,2.51
-16.48,Faanui,4034551,76.78,100,44,27.67
-33.02,East London,1006984,61.84,100,92,31.59
42.65,Albany,5106834,60.96,89,90,9.17
25.33,Manama,292953,80.67,60,0,3.36
46.1,Priyutnoye,505019,59.0,93,80,11.18
46.45,Vostok,2013279,44.92,77,8,5.19
42.22,Weymouth,4955336,64.15,100,1,11.41
59.1,Vao,588365,42.4,97,20,7.65
31.35,Marsa Matruh,352733,73.4,78,20,4.7
40.71,Zhuhai,2052479,41.0,70,0,4.47
-42.48,Castro,3896218,44.92,82,80,5.97
9.38,San Antero,3670199,82.4,88,75,6.93
15.34,Vaini,1273574,68.95,97,68,1.95
37.72,Vila Franca do Campo,3372472,68.0,88,40,19.46
-20.73,Mount Isa,2065594,84.2,25,0,12.75
60.82,Hay River,5972762,32.0,60,75,10.29
-5.11,Macau,3395998,80.65,50,0,14.03
39.31,Port Elizabeth,4501427,74.48,84,1,12.75
45.36,Saint-Philippe,6138908,50.34,93,90,10.29
39.45,Saint George,262462,57.2,87,0,2.24
-0.6,Hithadhoo,1282256,82.27,100,68,18.5
-7.6,Kidodi,157826,68.14,100,92,3.18
-31.43,Port Macquarie,2152659,75.2,38,0,5.82
27.52,Laguna,4013704,86.0,58,5,5.82
60.72,Qaqortoq,3420846,35.6,47,88,6.93
57.69,Ust-Ishim,1488206,45.19,80,92,5.75
-22.92,Marica,3457708,75.74,83,0,3.36
-21.21,Avarua,4035715,75.2,53,40,18.34
-25.34,San Lorenzo,3437056,62.6,93,90,10.29
55.6,Sargatskoye,1493004,44.92,81,92,6.64
-41.87,Ancud,3899695,44.29,80,24,5.64
-7.84,Chicama,3698359,64.4,82,90,8.05
-20.41,Mahebourg,934322,68.0,82,40,3.36
-5.57,Amarante do Maranhao,3407755,83.17,52,8,5.97
55.74,Thompson,6165406,33.8,47,40,8.05
-26.65,Luderitz,3355672,58.15,75,0,22.3
63.05,Beringovskiy,2126710,46.81,97,88,21.41
62.53,Omsukchan,2122493,30.25,85,88,4.85
50.68,Severo-Kurilsk,2121385,50.77,84,24,15.26
10.57,Kavaratti,1267390,82.99,100,0,3.06
